id,type,name,rt,duration
0,RS1,n,15.199730310123414,0.07019441900774837
0,RS1,m,15.430402896134183,0.14059913903474808
0,RS1,n,15.693533980986103,0.1124005620367825
0,RS1,n,15.932485287077725,0.0962959099560976
0,RS1,n,16.120512034976855,0.09608939313329756
0,RS1,n,16.335500817978755,0.10808767308481038
0,RS1,m,16.558642792981118,0.09194415318779647
0,RS1,m,16.77539215818979,0.09230977389961481
0,RS1,m,16.97221210715361,0.08036239282228053
0,RS1,m,17.168411816004664,0.09626308409497142
0,RS1,n,17.410330485086888,0.08836750010959804
0,RS1,m,17.610258936183527,0.10846645897254348
0,RS1,n,17.857505000196397,0.09604805684648454
0,RS1,m,18.049348852131516,0.10419900389388204
0,RS1,n,18.265364333055913,0.11623046896420419
0,RS1,m,18.510277660097927,0.08839043090119958
0,RS1,n,18.78330865711905,0.056470616022124887
0,RS1,n,19.003365145996213,0.06824573618359864
0,RS1,n,19.211253360146657,0.08027307782322168
0,RS1,m,19.426456577144563,0.09228048892691731
0,RS1,m,19.63225792697631,0.07646452821791172
0,RS1,m,19.84237756417133,0.08823151979595423
0,RS1,m,20.055370380170643,0.09225089894607663
0,RS1,m,21.56024782708846,1.5043407680932432
